,Star_name,Distance,Mass,Radius,Luminosity
0,Sun,0000015813,1,1,1
1,Sirius,00086,21,171,254
2,Canopus,0310,15,71,13
3,Alpha Centauri,00044,11,12,2
4,Arcturus,0037,11,26,170
5,Vega,0025,22,27,50
6,Capella,0043,26,12,150
7,Rigel,0860,23,789,120000
8,Procyon,00114,15,19,77
9,Betelgeuse,0640,20,950,60000
10,Achernar,0144,67,93,3000
11,Hadar,0390,105,8.6,42000
12,Altair,0017,18,18,105
13,Acrux,0320,18,89,25000
14,Aldebaran,0065,15,44,520
15,Antares,0600,12,680,75000
16,Spica,0260,1143,747,20512
17,Pollux,0034,19,88,43
18,Fomalhaut,0025,19,18,166
19,Deneb,2600,19,203,200000
20,Mimosa,0350,16,84,34000
21,Regulus,0077,38,31,290
22,Adhara,0430,125,14,39000
23,Shaula,0700,145,88,36000
24,Castor,0052,28,24,30
25,Gacrux,0088,15,84,820
26,Bellatrix,0240,86,58,9200
27,Elnath,0130,50,42,700
28,Miaplacidus,0110,35,68,290
29,Alnilam,2000,32,42,380000
30,Gamma Velorum,01100,90,6,170000
